Ortschaftsname,PLZ,Zusatzziffer,Gemeindename,BFS-Nr,Kantonskürzel,Longitude,Latitude,Sprache,Validity
Aeugst am Albis,8914,0,Aeugst am Albis,1,ZH,8.487911353880977,47.26870659169308,de,2008-07-01
Zwillikon,8909,0,Affoltern am Albis,2,ZH,8.4338163821915,47.289571908993466,de,2008-07-01
Bonstetten,8906,0,Bonstetten,3,ZH,8.462510333349584,47.31603645125777,de,2008-07-01
Sihlbrugg,6340,4,Hausen am Albis,4,ZH,8.57526328532996,47.22116099918424,de,2008-07-01
Hedingen,8908,0,Hedingen,5,ZH,8.450402732189215,47.30233830422904,de,2008-07-01
Kappel am Albis,8926,0,Kappel am Albis,6,ZH,8.518401273495831,47.22850464821109,de,2008-07-01
Knonau,8934,0,Knonau,7,ZH,8.463070514398174,47.22429178974388,de,2008-07-01
Maschwanden,8933,0,Maschwanden,8,ZH,8.430865808171731,47.23566580505311,de,2008-07-01
Mettmenstetten,8932,0,Mettmenstetten,9,ZH,8.46621230087719,47.24873640600875,de,2008-07-01
Affoltern am Albis,8910,0,Obfelden,10,ZH,8.438566231239783,47.27137607065747,de,2008-07-01
Ottenbach,8913,0,Ottenbach,11,ZH,8.408574839512227,47.28107502915263,de,2008-07-01
Rifferswil,8911,0,Rifferswil,12,ZH,8.494887179527833,47.24550056831461,de,2008-07-01
Adliswil,8134,0,Stallikon,13,ZH,8.505877599105137,47.31210529034569,de,2008-07-01
Wettswil,8907,0,Wettswil am Albis,14,ZH,8.470612514879852,47.337402201764085,de,2008-07-01
Benken ZH,8463,0,Benken (ZH),22,ZH,8.654666544357353,47.65377796251362,de,2008-07-01
Berg am Irchel,8415,0,Berg am Irchel,23,ZH,8.585741053392127,47.56297524636508,de,2008-07-01
Buch am Irchel,8414,0,Buch am Irchel,24,ZH,8.625154489252619,47.55047880538237,de,2008-07-01
Dachsen,8447,0,Dachsen,25,ZH,8.62437529263727,47.6617499423667,de,2008-07-01
Dorf,8458,0,Dorf,26,ZH,8.64932974753579,47.5712719631618,de,2008-07-01
Feuerthalen,8245,0,Feuerthalen,27,ZH,8.644166019684505,47.68902348007601,de,2008-07-01
Flaach,8416,0,Flaach,28,ZH,8.601940328056678,47.583401999004295,de,2008-07-01
Flurlingen,8247,0,Flurlingen,29,ZH,8.6355100827768,47.6836038261692,de,2008-07-01
Henggart,8444,0,Henggart,31,ZH,8.680830541990279,47.56038766231421,de,2008-07-01
