id,RELI,E_COORD,N_COORD,BFS-Nr,GMDE_HISTID
1434409,62102651,2621000,1265100,4252,12643
1445169,62162653,2621600,1265300,4252,12643
1446967,62172653,2621700,1265300,4252,12643
1446968,62172654,2621700,1265400,4252,12643
1452365,62202653,2622000,1265300,4252,12643
1452366,62202654,2622000,1265400,4252,12643
1454165,62212653,2622100,1265300,4252,12643
1454167,62212655,2622100,1265500,4252,12643
1454168,62212656,2622100,1265600,4252,12643
1455965,62222653,2622200,1265300,4252,12643
1455967,62222655,2622200,1265500,4252,12643
1455968,62222656,2622200,1265600,4252,12643
1457767,62232655,2622300,1265500,4252,12643
1457768,62232656,2622300,1265600,4252,12643
1459566,62242654,2622400,1265400,4252,12643
1459568,62242656,2622400,1265600,4252,12643
1461363,62252651,2622500,1265100,4252,12643
1461367,62252655,2622500,1265500,4252,12643
1461368,62252656,2622500,1265600,4252,12643
1461369,62252657,2622500,1265700,4252,12643
1463162,62262650,2622600,1265000,4252,12643
1463163,62262651,2622600,1265100,4252,12643
1463164,62262652,2622600,1265200,4252,12643
1463168,62262656,2622600,1265600,4252,12643
1463169,62262657,2622600,1265700,4252,12643
1464961,62272649,2622700,1264900,4252,12643
1464962,62272650,2622700,1265000,4252,12643
1464963,62272651,2622700,1265100,4252,12643
1464964,62272652,2622700,1265200,4252,12643
1464969,62272657,2622700,1265700,4252,12643
1466762,62282650,2622800,1265000,4252,12643
1466763,62282651,2622800,1265100,4252,12643
1466764,62282652,2622800,1265200,4252,12643
1466766,62282654,2622800,1265400,4252,12643
1466767,62282655,2622800,1265500,4252,12643
1466769,62282657,2622800,1265700,4252,12643
1468563,62292650,2622900,1265000,4252,12643
1468564,62292651,2622900,1265100,4252,12643
1468570,62292657,2622900,1265700,4252,12643
1470367,62302655,2623000,1265500,4252,12643
1470369,62302657,2623000,1265700,4252,12643
1472160,62312651,2623100,1265100,4252,12643
1472166,62312657,2623100,1265700,4252,12643
1473959,62322655,2623200,1265500,4252,12643
1475752,62332654,2623300,1265400,4252,12643
1475753,62332655,2623300,1265500,4252,12643
1477549,62342658,2623400,1265800,4252,12643
1511585,62532666,2625300,1266600,4258,12911
1515177,62552666,2625500,1266600,4258,12911
1515178,62552667,2625500,1266700,4258,12911
1516973,62562666,2625600,1266600,4258,12911
1516974,62562667,2625600,1266700,4258,12911
1522370,62592667,2625900,1266700,4258,12911
1524165,62602661,2626000,1266100,4258,12911
1524166,62602662,2626000,1266200,4258,12911
1524167,62602663,2626000,1266300,4258,12911
1524171,62602667,2626000,1266700,4258,12911
1525968,62612662,2626100,1266200,4258,12911
1525969,62612663,2626100,1266300,4258,12911
1527771,62622661,2626200,1266100,4258,12911
1527772,62622662,2626200,1266200,4258,12911
1527773,62622663,2626200,1266300,4258,12911
1527776,62622666,2626200,1266600,4258,12911
1529576,62632661,2626300,1266100,4258,12911
1529577,62632662,2626300,1266200,4258,12911
1529578,62632663,2626300,1266300,4258,12911
1529582,62632667,2626300,1266700,4258,12911
1529584,62632669,2626300,1266900,4258,12911
1531382,62642661,2626400,1266100,4258,12911
1531383,62642662,2626400,1266200,4258,12911
1531388,62642667,2626400,1266700,4258,12911
1533189,62652661,2626500,1266100,4258,12911
1533190,62652662,2626500,1266200,4258,12911
1534997,62662661,2626600,1266100,4258,12911
1534998,62662662,2626600,1266200,4258,12911
1535005,62662669,2626600,1266900,4258,12911
1542249,62702670,2627000,1267000,4258,12911
1545880,62722668,2627200,1266800,4258,12911
1553156,62762645,2627600,1264500,4253,12711
1553182,62762671,2627600,1267100,4258,12911
1553190,62762679,2627600,1267900,4258,12911
1553191,62762680,2627600,1268000,4258,12911
1575291,62882685,2628800,1268500,4258,12911
