"Durchschnittliches steuerbares Einkommen* pro Steuerpflichtigem/-r, 2020",,,27598
,,,
,,"Steuerbares Einkommen, in Mio. Franken","Steuerbares Einkommen pro Steuerpflichtigem/-r, in Franken"
Regions-ID,Regionsname,,
,,,
,Schweiz,"309,266","79,015"
1,Aeugst am Albis,111,"115,286"
2,Affoltern am Albis,412,"74,896"
3,Bonstetten,231,"91,023"
4,Hausen am Albis,164,"97,382"
5,Hedingen,167,"94,955"
6,Kappel am Albis,55,"97,090"
7,Knonau,91,"86,992"
8,Maschwanden,22,"72,427"
9,Mettmenstetten,221,"90,336"
10,Obfelden,194,"79,419"
11,Ottenbach,107,"83,296"
12,Rifferswil,46,"96,300"
13,Stallikon,181,"104,142"
14,Wettswil am Albis,285,"117,836"
21,Adlikon,25,"77,621"
22,Benken (ZH),34,"86,625"
23,Berg am Irchel,36,"114,529"
24,Buch am Irchel,37,"83,094"
25,Dachsen,75,"87,569"
26,Dorf,24,"83,152"
27,Feuerthalen,130,"76,797"
28,Flaach,48,"74,881"
29,Flurlingen,69,"95,652"
30,Andelfingen,88,"85,483"
31,Henggart,83,"79,746"
32,Humlikon,19,"92,520"
33,Kleinandelfingen,77,"79,337"
34,Laufen-Uhwiesen,87,"98,692"
35,Marthalen,75,"81,878"
37,Ossingen,59,"74,358"
38,Rheinau,43,"72,849"
39,Thalheim an der Thur,34,"76,950"
40,Trüllikon,36,"73,013"
41,Truttikon,15,"78,397"
43,Volken,14,"87,196"
51,Bachenbülach,152,"82,825"
52,Bassersdorf,433,"79,668"
53,Bülach,766,"77,640"
54,Dietlikon,298,"81,608"
55,Eglisau,205,"86,474"
56,Embrach,299,"73,162"
57,Freienstein-Teufen,89,"80,798"
58,Glattfelden,174,"74,571"
59,Hochfelden,73,"82,850"
60,Höri,80,"68,816"
61,Hüntwangen,43,"88,201"
62,Kloten,653,"70,054"
63,Lufingen,110,"91,832"
64,Nürensdorf,272,"98,739"
65,Oberembrach,46,"83,530"
66,Opfikon,689,"76,603"
67,Rafz,164,"79,405"
68,Rorbas,85,"73,478"
69,Wallisellen,725,"88,329"
70,Wasterkingen,21,"74,720"
71,Wil (ZH),58,"90,191"
72,Winkel,267,"112,064"
81,Bachs,22,"74,703"
82,Boppelsen,81,"120,735"
83,Buchs (ZH),225,"78,044"
84,Dällikon,141,"75,766"
85,Dänikon,64,"82,496"
86,Dielsdorf,195,"74,128"
87,Hüttikon,41,"100,395"
88,Neerach,193,"108,866"
89,Niederglatt,164,"73,348"
90,Niederhasli,307,"74,651"
91,Niederweningen,119,"87,949"
92,Oberglatt,203,"66,276"
93,Oberweningen,75,"88,058"
94,Otelfingen,112,"86,554"
95,Regensberg,22,"96,730"
96,Regensdorf,586,"73,870"
97,Rümlang,259,"72,032"
98,Schleinikon,34,"75,646"
99,Schöfflisdorf,61,"93,100"
100,Stadel,86,"75,942"
101,Steinmaur,126,"79,782"
102,Weiach,63,"68,807"
111,Bäretswil,175,"78,237"
112,Bubikon,278,"83,250"
113,Dürnten,254,"76,298"
114,Fischenthal,70,"67,866"
115,Gossau (ZH),384,"82,072"
116,Grüningen,145,"84,672"
117,Hinwil,389,"72,858"
118,Rüti (ZH),377,"67,939"
119,Seegräben,53,"81,872"
120,Wald (ZH),289,"65,956"
121,Wetzikon (ZH),798,"70,964"
131,Adliswil,807,"93,210"
135,Kilchberg (ZH),856,"188,323"
136,Langnau am Albis,340,"97,895"
137,Oberrieden,309,"121,368"
138,Richterswil,577,"90,809"
139,Rüschlikon,543,"189,267"
141,Thalwil,"1,053","117,600"
151,Erlenbach (ZH),511,"195,853"
152,Herrliberg,587,"192,038"
